关键词,主题数标号,主题
进口,0,"0.078*""博会"" + 0.034*""进口"" + 0.023*""全球"" + 0.021*""国家"" + 0.021*""企业"""
进口,1,"0.087*""中国"" + 0.074*""美国"" + 0.036*""产品"" + 0.030*""关税"" + 0.026*""进口"""
进口,2,"0.080*""进口"" + 0.038*""原料"" + 0.029*""跨境"" + 0.027*""俄罗斯"" + 0.022*""电商"""
进口,3,"0.068*""进口"" + 0.055*""美国"" + 0.049*""中国"" + 0.044*""关税"" + 0.042*""实施"""
进口,4,"0.069*""进口"" + 0.064*""中国"" + 0.041*""增长"" + 0.032*""进出口"" + 0.023*""世界"""
进口,5,"0.158*""进口"" + 0.111*""博览会"" + 0.087*""中国"" + 0.068*""国际"" + 0.039*""上海"""
进口,6,"0.089*""进口"" + 0.027*""食品"" + 0.019*""中国"" + 0.014*""时候"" + 0.014*""大家"""
进口,7,"0.061*""进口"" + 0.040*""进口车"" + 0.035*""视频"" + 0.029*""汽车"" + 0.020*""高端"""
进口,8,"0.095*""进口"" + 0.045*""日本"" + 0.042*""抗癌药"" + 0.042*""零关税"" + 0.020*""海关"""
进口,9,"0.096*""进口"" + 0.064*""限时"" + 0.027*""领券"" + 0.023*""新闻"" + 0.016*""货物"""
出口,0,"0.078*""直播"" + 0.054*""出口"" + 0.039*""进出口"" + 0.022*""公司"" + 0.019*""国家"""
出口,1,"0.094*""出口"" + 0.081*""高速公路"" + 0.070*""路况"" + 0.068*""天津"" + 0.025*""方向"""
出口,2,"0.077*""出口"" + 0.062*""没有"" + 0.025*""见到"" + 0.021*""可能"" + 0.019*""地铁"""
出口,3,"0.037*""发生"" + 0.023*""生活"" + 0.023*""隧道"" + 0.021*""注意"" + 0.019*""渴望"""
出口,4,"0.106*""中国"" + 0.071*""美国"" + 0.054*""出口"" + 0.023*""企业"" + 0.023*""经济"""
出口,5,"0.080*""出口"" + 0.057*""超话"" + 0.039*""弟弟"" + 0.028*""伊朗"" + 0.020*""演讲"""
出口,6,"0.059*""出口"" + 0.026*""世界"" + 0.024*""产品"" + 0.020*""没有"" + 0.015*""秘密"""
出口,7,"0.057*""出口"" + 0.056*""收费站"" + 0.034*""视频"" + 0.018*""发现"" + 0.018*""逃生"""
出口,8,"0.024*""觉得"" + 0.022*""车辆"" + 0.020*""音乐"" + 0.016*""车道"" + 0.014*""爱情"""
出口,9,"0.042*""出口"" + 0.024*""路段"" + 0.020*""朋友"" + 0.019*""生产"" + 0.017*""需要"""
进出口,0,"0.070*""进出口"" + 0.056*""中国"" + 0.029*""原产"" + 0.029*""税则"" + 0.029*""关税"""
进出口,1,"0.069*""时间"" + 0.024*""中国"" + 0.024*""贸易"" + 0.024*""成都"" + 0.024*""通关"""
进出口,2,"0.052*""通关"" + 0.052*""小时"" + 0.052*""旅客"" + 0.052*""成都"" + 0.052*""国际"""
进出口,3,"0.053*""生产"" + 0.028*""进出口"" + 0.028*""公司"" + 0.028*""银行业"" + 0.028*""贵港"""
进出口,4,"0.047*""进出口"" + 0.024*""企业"" + 0.024*""中国"" + 0.024*""扩大"" + 0.024*""犀牛"""
进出口,5,"0.048*""中国"" + 0.048*""进出口"" + 0.032*""企业"" + 0.032*""国际"" + 0.017*""贸易"""
进出口,6,"0.044*""新闻"" + 0.044*""记者"" + 0.044*""有关"" + 0.044*""发布会"" + 0.044*""情况"""
进出口,7,"0.032*""中国"" + 0.032*""防范"" + 0.032*""旅客"" + 0.032*""辖区"" + 0.032*""保山"""
进出口,8,"0.045*""进出口"" + 0.045*""服务"" + 0.023*""企业"" + 0.023*""出口"" + 0.023*""通知"""
进出口,9,"0.053*""服务"" + 0.036*""通关"" + 0.036*""成都"" + 0.036*""英国"" + 0.036*""进出口"""
关税,0,"0.109*""关税"" + 0.043*""美国"" + 0.021*""中国"" + 0.019*""市场"" + 0.019*""时间"""
关税,1,"0.066*""关税"" + 0.044*""中国"" + 0.036*""美国"" + 0.026*""大豆"" + 0.022*""应该"""
关税,2,"0.067*""关税"" + 0.050*""问题"" + 0.043*""美国"" + 0.043*""共识"" + 0.036*""中国"""
关税,3,"0.136*""关税"" + 0.115*""加征"" + 0.109*""中国"" + 0.083*""美国"" + 0.047*""商品"""
关税,4,"0.073*""关税"" + 0.063*""达成"" + 0.053*""中国"" + 0.048*""美国"" + 0.035*""经贸"""
关税,5,"0.088*""美国"" + 0.070*""贸易"" + 0.067*""关税"" + 0.055*""企业"" + 0.051*""中国"""
关税,6,"0.085*""停止"" + 0.069*""关税"" + 0.043*""美国"" + 0.033*""国家"" + 0.029*""中国"""
关税,7,"0.084*""美国"" + 0.056*""中国"" + 0.047*""关税"" + 0.032*""贸易"" + 0.029*""苹果"""
关税,8,"0.119*""关税"" + 0.109*""美国"" + 0.057*""中国"" + 0.036*""贸易"" + 0.035*""汽车"""
关税,9,"0.054*""关税"" + 0.036*""土耳其"" + 0.030*""部分"" + 0.029*""美国"" + 0.023*""市场"""
